gamma,num_trajectories,finish_reward,fall_reward,step_reward,epsilon,avg_elapsed_time,std_training_time_per_sample,avg_steps,eval_std_steps,finish_percent
0.95,1000,100,-10,0,0.01,0.07541965866766986,0.0007081196167359425,150.0,0.0,0.0
0.9,5000,100,-10,0,0.01,60.67279703633297,7.543657654881184,63.366666666666674,21.615555098637238,1.0
0.9,5000,100,-10,0,0.005,30.994454638667474,43.65642189289223,119.04444444444444,46.17861725255559,0.3333333333333333
0.95,1000,0,-10,0,0.1,0.07413276199925652,0.0031401953842105754,150.0,0.0,0.0
0.9,1000,10,-10,-10,1,2.332058817667227,0.3633484164977018,102.37777777777778,44.477854109352435,0.6
0.95,10000,0,-1000,0,0.1,0.18469058933381652,0.001384592562406475,150.0,0.0,0.0
0.95,5000,0,-10,-1,0.005,31.40526510366423,8.529807487855521,65.52222222222223,21.708281971930425,1.0
0.9,5000,100,-100,-1,0.005,106.29821075066745,29.859883759558606,68.56666666666666,24.632431196832083,0.9888888888888889
0.9,1000,100,-100,-1,1,1.6706833593331492,0.7754561689747398,114.77777777777779,40.52811857293314,0.5111111111111111
0.99,5000,100,-10,0,0.1,6.333449589000035,0.3685152854920958,69.52222222222223,25.047611453114104,0.9888888888888889
0.9,5000,100,-100,-10,0.1,15.64511265166584,5.327210561598751,69.05555555555556,25.18745768614526,0.9888888888888889
0.9,10000,10,-10,0,0.005,13.404799300333252,9.48597010311338,94.95555555555556,44.76231329319369,0.6555555555555556
0.9,10000,0,-10,-1,0.1,4.257836123000743,0.226361418675087,150.0,0.0,0.0
0.99,1000,10,-100,-1,0.01,29.64647545666594,6.817619680937411,66.77777777777777,25.70550212515159,0.9888888888888889
0.99,5000,0,-100,-10,0.01,331.5088051176669,25.45843539276702,64.82222222222224,26.229151626801208,0.9777777777777777
0.95,1000,0,-10,-10,1,3.308447638666015,0.2814348118758994,84.17777777777779,36.35032562219362,0.8666666666666667
0.9,10000,10,-1000,-1,0.1,5.5338951006657835,0.634672235817876,103.72222222222221,42.654432563145775,0.6222222222222222
0.9,1000,10,-1000,-1,0.1,2.7985264099988854,0.4257387001702053,87.55555555555556,38.87275855949371,0.8
